îNåéì˙,ç≈çÇãCâ∑,ç≈í·ãCâ∑
2022/1/1,9.5,0.6
2022/1/2,12.4,2.8
2022/1/3,12.7,2.9
2022/1/4,11.7,2.7
2022/1/5,9.2,4.1
2022/1/6,12,5.3
2022/1/7,12.6,3.8
2022/1/8,14.2,2.5
2022/1/9,12.3,4.6
2022/1/10,14.1,4.1
2022/1/11,9.6,4.3
2022/1/12,6.9,3.4
2022/1/13,7.9,3.4
2022/1/14,7.3,2.4
2022/1/15,10.2,2.1
2022/1/16,9.9,3.9
2022/1/17,10.1,5.5
2022/1/18,8.1,1.6
2022/1/19,9.2,0.3
2022/1/20,8,4.1
2022/1/21,9.3,4.2
2022/1/22,11.4,1.4
2022/1/23,9.1,6.9
2022/1/24,11,6.1
2022/1/25,13.1,2.7
2022/1/26,12.6,6.1
2022/1/27,12.5,6
2022/1/28,12.8,5.4
2022/1/29,10.6,5.5
2022/1/30,11.3,4.8
2022/1/31,10.3,2.8
2022/2/1,8.8,2.9
2022/2/2,9.6,1.5
2022/2/3,9.5,4.9
2022/2/4,9.1,2.4
2022/2/5,6.7,3.2
2022/2/6,6,2.7
2022/2/7,9.3,2.9
2022/2/8,9.9,4.9
2022/2/9,12.6,3.5
2022/2/10,10.6,6.6
2022/2/11,13.1,5.3
2022/2/12,14.6,5
2022/2/13,9.6,7
2022/2/14,14.6,6.5
2022/2/15,10.5,4.8
2022/2/16,6.4,2.3
2022/2/17,5.1,-0.3
2022/2/18,10,1
2022/2/19,7,4
2022/2/20,8.1,2.8
2022/2/21,7.2,2.4
2022/2/22,8,1.8
2022/2/23,7.1,1.7
2022/2/24,8.2,0.7
2022/2/25,11,0.6
2022/2/26,14.1,2.8
2022/2/27,13.2,5.2
2022/2/28,15,3.1
2022/3/1,13.5,8.5
2022/3/2,12.5,7.1
2022/3/3,14.4,5.8
2022/3/4,12.8,6
2022/3/5,15.9,7.8
2022/3/6,10.9,5.2
2022/3/7,12.1,4.1
2022/3/8,15.4,2.9
2022/3/9,16.7,5.7
2022/3/10,18.5,5.4
2022/3/11,21,9.5
2022/3/12,22.6,14.2
2022/3/13,21.8,15.3
2022/3/14,24,13.8
2022/3/15,18.9,12.5
2022/3/16,22.6,10.2
2022/3/17,18.8,12.2
2022/3/18,12.9,10.4
2022/3/19,13,8.4
2022/3/20,14.2,7.7
2022/3/21,14.9,9.3
2022/3/22,15.1,7.8
2022/3/23,11.3,6.6
2022/3/24,16.5,5.3
2022/3/25,20.6,7
2022/3/26,19.1,14.1
2022/3/27,19.5,12.9
2022/3/28,15.3,10.9
2022/3/29,19.6,9.9
2022/3/30,22.4,12.6
2022/3/31,18.4,12.5
2022/4/1,16,9.2
2022/4/2,14.7,6.9
2022/4/3,16.7,5
2022/4/4,17.6,6.6
2022/4/5,19,6.3
2022/4/6,20.4,10.9
2022/4/7,22.6,10.4
2022/4/8,22,11.6
2022/4/9,25.1,12
2022/4/10,24.6,13.2
2022/4/11,22.9,16.8
2022/4/12,25.3,17.4
2022/4/13,21.9,15.8
2022/4/14,16.5,14.2
2022/4/15,14.5,11.8
2022/4/16,17.6,10.7
2022/4/17,21.4,8.7
2022/4/18,20.9,11.8
2022/4/19,22,10.3
2022/4/20,25.6,11.6
2022/4/21,18.2,13.6
2022/4/22,26.1,12.9
2022/4/23,20,17.2
2022/4/24,25.3,16.6
2022/4/25,27.5,15.8
2022/4/26,25.5,21.4
2022/4/27,22.9,16.4
2022/4/28,22.6,15
2022/4/29,18.8,13
2022/4/30,19.4,12.8
2022/5/1,19.5,13.6
2022/5/2,21,11.2
2022/5/3,21,11.9
2022/5/4,23.4,11.6
2022/5/5,25.7,15
2022/5/6,23.8,17.1
2022/5/7,26.4,18.4
2022/5/8,23,17.2
2022/5/9,22.5,15.9
2022/5/10,25.3,16
2022/5/11,25.6,18.3
2022/5/12,23.3,19.4
2022/5/13,20.5,17.5
2022/5/14,22,16.2
2022/5/15,21,15.3
2022/5/16,22.5,15.4
2022/5/17,25.5,15
2022/5/18,27,14.2
2022/5/19,26.8,16
2022/5/20,24.3,19
2022/5/21,25.1,16.6
